Classification,Year,Month,Stock
Household Stock,2019,January,1247.58
Household Stock,2019,February,1032.42
Household Stock,2019,March,1033.64
Household Stock,2019,April,1177.61
Household Stock,2019,May,1265.47
Household Stock,2019,June,1049.05
Household Stock,2019,July,1008.66
Household Stock,2019,August,792.66
Household Stock,2019,September,673.10
Household Stock,2019,October,1052.47
Household Stock,2019,November,1526.69
Household Stock,2019,December,1607.64
Household Stock,2020,January,1198.47
Household Stock,2020,February,1045.67
Household Stock,2020,March,981.02
Household Stock,2020,April,1243.01
Household Stock,2020,May,1519.95
Household Stock,2020,June,1256.21
Household Stock,2020,July,1073.65
Household Stock,2020,August,852.46
Household Stock,2020,September,848.36
Household Stock,2020,October,1450.02
Household Stock,2020,November,1809.40
Household Stock,2020,December,1618.71
Household Stock,2021,January,1289.51
Household Stock,2021,February,1181.68
Household Stock,2021,March,1230.13
Household Stock,2021,April,1464.98
Household Stock,2021,May,1425.10
Household Stock,2021,June,1132.46
Household Stock,2021,July,985.55
Household Stock,2021,August,751.07
Household Stock,2021,September,638.16
Household Stock,2021,October,1059.68
Household Stock,2021,November,1332.37
Household Stock,2021,December,1296.97
Household Stock,2022,January,991.56
Household Stock,2022,February,882.74
Household Stock,2022,March,864.92
Household Stock,2022,April,1372.83
Household Stock,2022,May,1240.22
Household Stock,2022,June,1049.49
Household Stock,2022,July,1064.25
Household Stock,2022,August,791.55
Household Stock,2022,September,710.34
Household Stock,2022,October,1172.68
Household Stock,2022,November,1491.32
Household Stock,2022,December,1476.28
Household Stock,2023,January,1083.61
Household Stock,2023,February,877.03
Household Stock,2023,March,811.52
Household Stock,2023,April,1015.29
Household Stock,2023,May,993.97
Household Stock,2023,June,885.00
Household Stock,2023,July,758.56
Household Stock,2023,August,636.41
Household Stock,2023,September,600.17
Household Stock,2023,October,917.84
Household Stock,2023,November,1017.22
Household Stock,2023,December,986.78
Household Stock,2024,January,1000.50
Household Stock,2024,February,685.20
Commercial Stock,2019,January,1205.21
Commercial Stock,2019,February,811.20
Commercial Stock,2019,March,695.84
Commercial Stock,2019,April,875.24
Commercial Stock,2019,May,1123.81
Commercial Stock,2019,June,998.23
Commercial Stock,2019,July,1099.67
Commercial Stock,2019,August,880.15
Commercial Stock,2019,September,759.74
Commercial Stock,2019,October,832.54
Commercial Stock,2019,November,981.69
Commercial Stock,2019,December,1009.72
Commercial Stock,2020,January,951.63
Commercial Stock,2020,February,841.15
Commercial Stock,2020,March,715.81
Commercial Stock,2020,April,709.55
Commercial Stock,2020,May,940.89
Commercial Stock,2020,June,891.40
Commercial Stock,2020,July,808.55
Commercial Stock,2020,August,729.95
Commercial Stock,2020,September,744.00
Commercial Stock,2020,October,951.18
Commercial Stock,2020,November,963.52
Commercial Stock,2020,December,794.71
Commercial Stock,2021,January,689.96
Commercial Stock,2021,February,708.94
Commercial Stock,2021,March,584.66
Commercial Stock,2021,April,738.16
Commercial Stock,2021,May,918.67
Commercial Stock,2021,June,1173.28
Commercial Stock,2021,July,986.31
Commercial Stock,2021,August,648.40
Commercial Stock,2021,September,543.02
Commercial Stock,2021,October,728.69
Commercial Stock,2021,November,841.74
Commercial Stock,2021,December,831.17
Commercial Stock,2022,January,659.56
Commercial Stock,2022,February,545.27
Commercial Stock,2022,March,611.33
Commercial Stock,2022,April,997.42
Commercial Stock,2022,May,880.94
Commercial Stock,2022,June,865.64
Commercial Stock,2022,July,809.83
Commercial Stock,2022,August,707.20
Commercial Stock,2022,September,628.16
Commercial Stock,2022,October,798.12
Commercial Stock,2022,November,1038.01
Commercial Stock,2022,December,933.01
Commercial Stock,2023,January,651.93
Commercial Stock,2023,February,541.21
Commercial Stock,2023,March,494.25
Commercial Stock,2023,April,728.73
Commercial Stock,2023,May,787.97
Commercial Stock,2023,June,848.11
Commercial Stock,2023,July,984.76
Commercial Stock,2023,August,945.10
Commercial Stock,2023,September,902.29
Commercial Stock,2023,October,897.05
Commercial Stock,2023,November,901.11
Commercial Stock,2023,December,851.88
Commercial Stock,2024,January,978.00
Commercial Stock,2024,February,778.89
NFA Stock,2019,January,97.91
NFA Stock,2019,February,297.62
NFA Stock,2019,March,491.94
NFA Stock,2019,April,576.18
NFA Stock,2019,May,558.14
NFA Stock,2019,June,551.06
NFA Stock,2019,July,516.92
NFA Stock,2019,August,461.03
NFA Stock,2019,September,409.53
NFA Stock,2019,October,394.71
NFA Stock,2019,November,454.08
NFA Stock,2019,December,480.66
NFA Stock,2020,January,524.94
NFA Stock,2020,February,488.68
NFA Stock,2020,March,481.81
NFA Stock,2020,April,415.31
NFA Stock,2020,May,318.20
NFA Stock,2020,June,248.33
NFA Stock,2020,July,222.57
NFA Stock,2020,August,203.85
NFA Stock,2020,September,192.47
NFA Stock,2020,October,239.89
NFA Stock,2020,November,385.62
NFA Stock,2020,December,352.98
NFA Stock,2021,January,352.52
NFA Stock,2021,February,302.48
NFA Stock,2021,March,265.32
NFA Stock,2021,April,241.17
NFA Stock,2021,May,241.13
NFA Stock,2021,June,225.09
NFA Stock,2021,July,205.82
NFA Stock,2021,August,178.84
NFA Stock,2021,September,151.17
NFA Stock,2021,October,166.34
NFA Stock,2021,November,244.32
NFA Stock,2021,December,249.71
NFA Stock,2022,January,208.33
NFA Stock,2022,February,181.23
NFA Stock,2022,March,155.87
NFA Stock,2022,April,135.87
NFA Stock,2022,May,158.80
NFA Stock,2022,June,175.49
NFA Stock,2022,July,160.50
NFA Stock,2022,August,134.61
NFA Stock,2022,September,112.38
NFA Stock,2022,October,111.04
NFA Stock,2022,November,120.48
NFA Stock,2022,December,125.30
NFA Stock,2023,January,114.91
NFA Stock,2023,February,104.79
NFA Stock,2023,March,103.07
NFA Stock,2023,April,99.03
NFA Stock,2023,May,100.12
NFA Stock,2023,June,85.10
NFA Stock,2023,July,60.84
NFA Stock,2023,August,50.95
NFA Stock,2023,September,43.64
NFA Stock,2023,October,44.24
NFA Stock,2023,November,60.23
NFA Stock,2023,December,57.13
NFA Stock,2024,January,48.68
NFA Stock,2024,February,46.89
